Componente,Varianza_explicada,Varianza_acumulada
1,0.09564611109083519,0.09564611109083519
2,0.04727985198426336,0.14292596307509856
3,0.03806483207800783,0.1809907951531064
4,0.027964521001046384,0.20895531615415278
5,0.025045204960137908,0.23400052111429068
6,0.02332804248927156,0.25732856360356227
7,0.020678538837173167,0.27800710244073545
8,0.01851694785823839,0.29652405029897383
9,0.01755525898507216,0.314079309284046
10,0.01623065267854264,0.3303099619625886
11,0.01532500741674177,0.34563496937933036
12,0.014629433330050111,0.3602644027093805
13,0.014234930490946547,0.374499333200327
14,0.013986921571701068,0.3884862547720281
15,0.013540853485210017,0.4020271082572381
16,0.013140133050385857,0.41516724130762395
17,0.012595681060798277,0.4277629223684222
18,0.012354256867662963,0.4401171792360852
19,0.012295607242044792,0.45241278647813
20,0.011961982904602791,0.4643747693827328
21,0.0118395931219573,0.4762143625046901
22,0.01181130652910068,0.4880256690337908
23,0.011699886373439279,0.49972555540723007
24,0.011639323015936405,0.5113648784231665
25,0.01158294450606773,0.5229478229292343
26,0.011553871476989308,0.5345016944062235
27,0.011481733986659321,0.5459834283928828
28,0.011425085662880882,0.5574085140557637
29,0.01134666560414163,0.5687551796599054
30,0.01126269958888345,0.5800178792487889
31,0.011192928559232963,0.5912108078080218
32,0.010968618277204252,0.6021794260852261
33,0.010871448972534937,0.613050875057761
34,0.010697155469509657,0.6237480305272707
35,0.01062233166722883,0.6343703621944995
36,0.010508916829440478,0.6448792790239399
37,0.010414802975361943,0.6552940819993018
38,0.010383541340420173,0.665677623339722
39,0.010291859753539214,0.6759694830932612
40,0.01022348676822627,0.6861929698614875
41,0.010059807714815345,0.6962527775763028
42,0.009971139571018861,0.7062239171473217
43,0.009865538236878727,0.7160894553842004
44,0.009687024743086844,0.7257764801272872
45,0.009607035043577235,0.7353835151708644
46,0.009542791417607853,0.7449263065884723
47,0.00941190360389379,0.754338210192366
48,0.009328161880336116,0.7636663720727022
49,0.00909946899281065,0.7727658410655128
50,0.009020413332021042,0.7817862543975339
51,0.008955604492909006,0.7907418588904429
52,0.00880274439445885,0.7995446032849017
53,0.008701003805132897,0.8082456070900347
54,0.008658410337620298,0.816904017427655
55,0.008469293180159088,0.825373310607814
56,0.008388973010828705,0.8337622836186428
57,0.008270462850810128,0.8420327464694529
58,0.008206956445710525,0.8502397029151635
59,0.008135885349298207,0.8583755882644617
60,0.007990068798506157,0.8663656570629679
61,0.007950079624112186,0.8743157366870801
62,0.007822647678819464,0.8821383843658995
63,0.007617837977527875,0.8897562223434274
64,0.0074657359988506995,0.8972219583422781
65,0.007267331663011526,0.9044892900052897
66,0.0070361921552638896,0.9115254821605535
67,0.006892643105453487,0.918418125266007
68,0.00682458287930758,0.9252427081453145
69,0.006606050575440119,0.9318487587207547
70,0.006460250645835991,0.9383090093665907
71,0.006397211564901877,0.9447062209314926
72,0.006182272312604515,0.9508884932440971
73,0.006159632368167883,0.9570481256122649
74,0.005916262664553286,0.9629643882768182
75,0.0055894501699413875,0.9685538384467596
76,0.005357767535200458,0.97391160598196
77,0.00531174513543344,0.9792233511173934
78,0.004920131585913113,0.9841434827033065
79,0.004104710812944988,0.9882481935162515
80,0.0039944647786347535,0.9922426582948862
81,0.003368879305426023,0.9956115376003123
82,0.0028968058346567887,0.9985083434349691
83,0.0014401582250789821,0.9999485016600481
84,3.9825784840295976e-05,0.9999883274448884
85,8.223675602881928e-06,0.9999965511204914
86,3.4488795088335926e-06,1.0000000000000002
